,count,state,lat,long,date,urban
6376,1,US-FL,26.698929999999997,-81.999664,2018-03-03,0
6377,2,US-FL,26.546702500000002,-81.9806344,2018-04-10,1
6378,6,US-FL,30.532952500000004,-84.2155051,2018-02-18,0
6379,1000,US-FL,30.428045899999997,-84.27803279999999,2018-02-10,1
6380,5,US-FL,30.4752537,-84.2664971,2018-02-15,0
6381,1,US-FL,30.474124,-84.2378104,2018-02-01,1
6382,6,US-FL,30.532952500000004,-84.2155051,2018-02-18,0
6383,1,US-FL,30.4258071,-84.31676390000001,2018-02-23,1
6384,8,US-FL,30.4727647,-84.24038399999999,2018-02-10,1
6385,50,US-FL,30.4727647,-84.24038399999999,2018-02-05,1
6386,2,US-FL,30.474568599999998,-84.25295859999999,2018-02-06,0
6387,3,US-FL,30.4700891,-84.3152735,2018-02-08,1
6388,15,US-FL,30.594034399999998,-84.3071547,2018-02-02,0
6389,300,US-FL,30.5113997,-84.2884827,2018-02-14,0
6390,85,US-FL,30.4729585,-84.2294007,2018-02-06,1
6391,150,US-FL,30.4729585,-84.2294007,2018-02-06,1
6392,9,US-FL,30.5299816,-84.2252655,2018-02-03,0
6393,150,US-FL,30.3769149,-84.2694439,2018-02-06,1
6394,2,US-FL,30.357809999999997,-84.28452,2018-02-10,0
6395,5,US-FL,30.526459999999997,-84.01191,2018-02-12,0
6396,5,US-FL,30.5105885,-84.3339017,2018-02-18,1
6397,6,US-FL,30.4628978,-84.13872959999999,2018-02-11,0
6398,3,US-FL,30.4347,-84.2729,2018-02-19,1
6399,4,US-FL,30.4347,-84.2729,2018-02-17,1
6400,10,US-FL,30.417545299999997,-84.2526474,2018-02-13,1
6401,300,US-FL,30.4440675,-84.299823,2018-02-12,1
6402,2,US-FL,30.4464169,-84.24775600000001,2018-02-19,0
6403,4,US-FL,30.4752537,-84.2664971,2018-02-12,0
6404,2,US-FL,30.4727647,-84.24038399999999,2018-02-07,1
6405,10,US-FL,30.4727647,-84.24038399999999,2018-02-02,1
6406,4,US-FL,30.4258071,-84.31676390000001,2018-02-21,1
6407,75,US-FL,30.485870399999996,-84.2007637,2018-02-05,0
6408,17,US-FL,30.473014399999997,-84.2623043,2018-02-05,0
6409,4,US-FL,30.473014399999997,-84.2623043,2018-02-09,0
6410,300,US-FL,30.5113997,-84.2884827,2018-02-13,0
6411,12,US-FL,30.394361100000005,-84.20803790000001,2018-02-02,0
6412,50,US-FL,30.444382,-84.1754436,2018-02-04,0
6413,1,US-FL,30.447138300000002,-84.29208220000001,2018-02-14,1
6414,2,US-FL,30.4792315,-84.2623115,2018-02-05,0
6415,1,US-FL,30.357809999999997,-84.28452,2018-02-03,0
6416,3,US-FL,30.403682399999997,-84.3079448,2018-02-14,1
6417,3,US-FL,30.403682399999997,-84.3079448,2018-02-18,1
6418,6,US-FL,30.4347,-84.2729,2018-02-09,1
6419,7,US-FL,30.533449199999996,-84.3557281,2018-02-09,0
6420,2,US-FL,30.476123600000005,-84.2353427,2018-02-07,1
6421,12,US-FL,30.457145500000003,-84.2443228,2018-02-02,0
6422,12,US-FL,30.5282646,-84.20819940000001,2018-02-01,0
6423,35,US-FL,30.419937,-84.5714504,2018-02-09,0
6424,6,US-FL,30.474124,-84.2378104,2018-02-10,1
6425,2,US-FL,30.579886,-84.287823,2018-02-01,0
6426,1,US-FL,30.4258071,-84.31676390000001,2018-02-20,1
6427,30,US-FL,30.4727647,-84.24038399999999,2018-02-04,1
6428,300,US-FL,30.4258071,-84.31676390000001,2018-02-09,1
6429,25,US-FL,30.4727647,-84.24038399999999,2018-02-03,1
6430,3,US-FL,30.4941196,-84.3080306,2018-02-12,1
6431,6,US-FL,30.394361100000005,-84.20803790000001,2018-02-15,0
6432,2,US-FL,30.4729585,-84.2294007,2018-02-17,1
6433,2,US-FL,30.5393804,-84.3269373,2018-02-01,0
6434,2,US-FL,30.431961100000002,-84.26947779999999,2018-02-09,1
6435,2,US-FL,30.4417858,-84.19152070000001,2018-02-10,0
6436,3,US-FL,30.48498,-84.384113,2018-02-22,0
6437,50,US-FL,30.4514143,-84.2860413,2018-02-18,1
6438,1,US-FL,30.532952500000004,-84.2155051,2018-02-19,0
6439,2,US-FL,30.4106212,-84.3445253,2018-02-14,1
6440,6,US-FL,30.485217699999996,-84.1629417,2018-02-18,0
6441,14,US-FL,30.4752537,-84.2664971,2018-02-20,0
6442,20,US-FL,30.4828772,-84.3333547,2018-02-19,1
6443,3,US-FL,30.4258071,-84.31676390000001,2018-02-14,1
6444,6,US-FL,30.4727647,-84.24038399999999,2018-02-14,1
6445,25,US-FL,30.4258071,-84.31676390000001,2018-02-02,1
6446,1,US-FL,30.4258071,-84.31676390000001,2018-02-27,1
6447,15,US-FL,30.4002208,-84.2080398,2018-02-02,0
6448,32,US-FL,30.473014399999997,-84.2623043,2018-02-07,0
6449,40,US-FL,30.4729585,-84.2294007,2018-02-03,1
6450,6,US-FL,30.472608,-84.2660029,2018-02-08,0
6451,4,US-FL,30.507019,-84.313385,2018-02-14,1
6452,40,US-FL,30.422482000000002,-84.257879,2018-02-13,1
6453,75,US-FL,30.466060499999998,-84.26050190000001,2018-02-09,1
6454,6,US-FL,30.4792315,-84.2623115,2018-02-04,0
6455,2,US-FL,30.403682399999997,-84.3079448,2018-02-20,1
6456,6,US-FL,30.403682399999997,-84.3079448,2018-02-14,1
6457,1,US-FL,30.5136017,-84.29490140000001,2018-02-13,1
6458,5,US-FL,30.4787195,-84.24020290000001,2018-02-07,1
6459,150,US-FL,30.429779600000003,-84.30057509999999,2018-02-12,1
6460,3,US-FL,30.4795756,-84.278134,2018-02-18,1
6461,61,US-FL,30.4752537,-84.2664971,2018-02-07,0
6462,2,US-FL,30.459283799999998,-84.32289890000001,2018-02-18,1
6463,12,US-FL,30.5282646,-84.20819940000001,2018-02-17,0
6464,11,US-FL,30.522638800000003,-84.2566395,2018-02-17,0
6465,5,US-FL,30.4258071,-84.31676390000001,2018-02-07,1
6466,50,US-FL,30.4727647,-84.24038399999999,2018-02-06,1
6467,14,US-FL,30.3911373,-84.3129349,2018-02-11,1
6468,1,US-FL,30.4941196,-84.3080306,2018-02-03,1
6469,120,US-FL,30.473014399999997,-84.2623043,2018-02-05,0
6470,21,US-FL,30.514948999999998,-84.3598938,2018-02-06,1
6471,2,US-FL,30.5299816,-84.2252655,2018-02-24,0
6472,15,US-FL,30.5299816,-84.2252655,2018-02-01,0
6473,1,US-FL,30.507019,-84.313385,2018-02-10,1
6474,100,US-FL,30.5104939,-84.3539715,2018-02-01,1
6475,5,US-FL,30.3922433,-84.2290041,2018-02-16,0
6476,3,US-FL,30.4792315,-84.2623115,2018-02-09,0
6477,1,US-FL,30.656778600000003,-84.2087889,2018-02-11,0
6478,2,US-FL,30.656778600000003,-84.2087889,2018-02-11,0
6479,1,US-FL,30.357809999999997,-84.28452,2018-02-11,0
6480,12,US-FL,30.403682399999997,-84.3079448,2018-02-12,1
6481,2,US-FL,30.5136017,-84.29490140000001,2018-02-14,1
6482,11,US-FL,30.371199800000003,-84.0867484,2018-02-03,0
6483,2,US-FL,30.427849,-84.25850600000001,2018-02-08,0
6484,2,US-FL,30.427849,-84.25850600000001,2018-02-16,0
6485,2,US-FL,30.370687,-84.1972446,2018-02-15,0
6486,30,US-FL,30.429779600000003,-84.30057509999999,2018-02-09,1
6487,25,US-FL,30.562793,-84.2202593,2018-02-03,0
6488,2,US-FL,30.3906272,-84.21782259999999,2018-02-02,0
6489,35,US-FL,30.419937,-84.5714504,2018-02-09,0
6490,3,US-FL,30.4752537,-84.2664971,2018-02-14,0
6491,50,US-FL,30.312914000000003,-84.247238,2018-02-19,0
6492,85,US-FL,30.474568599999998,-84.25295859999999,2018-02-03,0
6493,3,US-FL,30.4965393,-84.29356949999999,2018-02-09,1
6494,20,US-FL,30.474568599999998,-84.25295859999999,2018-02-06,0
6495,201,US-FL,30.474568599999998,-84.25295859999999,2018-02-05,0
6496,24,US-FL,30.473014399999997,-84.2623043,2018-02-06,0
6497,17,US-FL,30.5299816,-84.2252655,2018-02-13,0
6498,40,US-FL,30.5299816,-84.2252655,2018-02-07,0
6499,2,US-FL,30.422482000000002,-84.257879,2018-02-16,1
6500,45,US-FL,30.5104939,-84.3539715,2018-02-12,1
6501,2,US-FL,30.3936535,-84.27310820000001,2018-02-07,0
6502,10,US-FL,30.656778600000003,-84.2087889,2018-02-10,0
6503,3,US-FL,30.4792315,-84.2623115,2018-02-07,0
6504,1,US-FL,30.656778600000003,-84.2087889,2018-02-11,0
6505,1,US-FL,30.656778600000003,-84.2087889,2018-02-11,0
6506,20,US-FL,30.427849,-84.25850600000001,2018-02-13,0
6507,2,US-FL,30.429779600000003,-84.30057509999999,2018-02-05,1
6508,2,US-FL,30.429779600000003,-84.30057509999999,2018-02-26,1
6509,2,US-FL,30.429779600000003,-84.30057509999999,2018-02-19,1
6510,30,US-FL,30.429779600000003,-84.30057509999999,2018-02-09,1
6511,6,US-FL,30.535666,-84.28820999999999,2018-02-17,0
6512,7,US-FL,30.5752307,-83.99678709999999,2018-02-13,0
6513,5,US-FL,30.535666,-84.28820999999999,2018-02-15,0
6514,1,US-FL,30.476565100000002,-84.25303459999999,2018-02-06,0
6515,45,US-FL,30.4752537,-84.2664971,2018-02-02,0
6516,12,US-FL,30.4464169,-84.24775600000001,2018-02-05,0
6517,4,US-FL,30.501523699999996,-84.26400670000001,2018-02-17,1
6518,12,US-FL,30.4752537,-84.2664971,2018-02-05,0
6519,50,US-FL,30.4752537,-84.2664971,2018-02-13,0
6520,3,US-FL,30.575251,-84.01607,2018-02-13,0
6521,6,US-FL,30.4002208,-84.2080398,2018-02-15,0
6522,2,US-FL,30.460363399999995,-84.279335,2018-02-01,1
6523,350,US-FL,30.5113997,-84.2884827,2018-02-04,0
6524,10,US-FL,30.53288,-84.215689,2018-02-20,0
6525,2,US-FL,30.507019,-84.313385,2018-02-04,1
6526,6,US-FL,30.507019,-84.313385,2018-02-08,1
